"full_id","comm_fkt","dist_wt","distance_rank","lat","lon","num_buildings"
"w1325256795","AMBALAHOSY NORD_AMBALAHOSY AVARATRA",723.105769230769,1,-21.2976228573334,47.8784998034174,157
"w1333193653","AMBALAHOSY NORD_AMBALAHOSY AVARATRA",868.084134615385,2,-21.2989128433892,47.8754793331693,23
"w1333193643","AMBALAHOSY NORD_AMBALAHOSY AVARATRA",935.617788461538,3,-21.2988412909197,47.8733205556363,18
"w1305254146","AMBALAHOSY NORD_AMBALAHOSY AVARATRA",985.947115384615,4,-21.2986967633082,47.8813388073969,7
"w1325259021","AMBALAHOSY NORD_AMBALAHOSY AVARATRA",1046.68990384615,5,-21.294668237641,47.8756881989195,7
"w1334236559","AMBALAHOSY NORD_AMBINANIFITOERANA",3056.2,1,-21.3202606246909,47.8798184417016,44
"w1334236555","AMBALAHOSY NORD_AMBINANIFITOERANA",3066.45755395683,2,-21.3196292678224,47.8790672444726,13
"w1334236553","AMBALAHOSY NORD_AMBINANIFITOERANA",3134.64028776978,3,-21.3179492617245,47.8795807827848,5
"w1334236685","AMBALAHOSY NORD_AMBINANIFITOERANA",3224.63884892086,4,-21.3186409520833,47.8820687520453,15
"w1334236548","AMBALAHOSY NORD_AMBINANIFITOERANA",3274.20143884892,5,-21.3189062402961,47.8841009177706,44
"w1336409041","AMBALAHOSY NORD_AMBODIBAKOLY",2025.22589285714,1,-21.3160611543843,47.9100219401739,11
"w1336409049","AMBALAHOSY NORD_AMBODIBAKOLY",2047.42857142857,2,-21.3166849026298,47.9103086790138,9
"w1336409010","AMBALAHOSY NORD_AMBODIBAKOLY",2071.87142857143,3,-21.3174495050194,47.9100530247592,12
"w1336409035","AMBALAHOSY NORD_AMBODIBAKOLY",2096.075,4,-21.318608279631,47.9082206677908,13
"w1336409215","AMBALAHOSY NORD_AMBODIBAKOLY",2119.72053571429,5,-21.3198970985518,47.9105249007406,143
"w1334236432","AMBALAHOSY NORD_AMBODIHASINA",844.257425742574,1,-21.3276936628592,47.8974744953557,10
"w1334236450","AMBALAHOSY NORD_AMBODIHASINA",853.415841584158,2,-21.3273493735266,47.9000799170099,26
"w1336409073","AMBALAHOSY NORD_AMBODIHASINA",863.232673267327,3,-21.3264549763227,47.901500837493,110
"w1334236408","AMBALAHOSY NORD_AMBODIHASINA",894.25,4,-21.3285032743408,47.8974441963768,6
"w1336409069","AMBALAHOSY NORD_AMBODIHASINA",911.643564356436,5,-21.3250124208701,47.9007603641431,12
"w1333159497","AMBALAHOSY NORD_ANOSIVOLO",4232.89416058394,1,-21.2949801394152,47.8479342901389,5
"w1359309318","AMBALAHOSY NORD_ANOSIVOLO",4267.75182481752,2,-21.2943835438357,47.8460684831876,5
"w1333159502","AMBALAHOSY NORD_ANOSIVOLO",4277.34793187348,3,-21.2942581276327,47.8491693556815,16
"w1333159462","AMBALAHOSY NORD_ANOSIVOLO",4304.23236009732,4,-21.3007926593046,47.8557150195701,29
"w1333159526","AMBALAHOSY NORD_ANOSIVOLO",4317.58637469586,5,-21.2931647044585,47.8463543062632,6
"w1359271789","AMBALAHOSY NORD_MORARANO TOBY",3527.02197802198,1,-21.3344545767439,47.9158822617683,9
"w1359271800","AMBALAHOSY NORD_MORARANO TOBY",3597.99450549451,2,-21.3327788152092,47.9157172981329,49
"w1335876144","AMBALAHOSY NORD_MORARANO TOBY",3614.25,3,-21.3367255273234,47.9126330232956,5
"w1359271792","AMBALAHOSY NORD_MORARANO TOBY",3662.89285714286,4,-21.3325733959231,47.9131481216487,5
"w1335876170","AMBALAHOSY NORD_MORARANO TOBY",3671.71428571429,5,-21.3365833125187,47.9106442646339,5
"w757854901","AMBODINONOKA_AMBALATENINA",1453.31509846827,1,-21.0310449720344,47.8874571989237,75
"w757854909","AMBODINONOKA_AMBALATENINA",1456.79868708972,2,-21.0266981437818,47.8869874873722,107
"w757854908","AMBODINONOKA_AMBALATENINA",1475.81181619256,3,-21.0276108255303,47.8867065784077,24
"w757854900","AMBODINONOKA_AMBALATENINA",1521.07221006565,4,-21.0307288775542,47.8886338582383,15
"w757854906","AMBODINONOKA_AMBALATENINA",1549.35667396061,5,-21.0266175986181,47.886027728264,13
"w1304974479","AMBODINONOKA_AMBATOHARANANA",1668.38785046729,1,-20.9383945963836,47.9144050495277,6
