"full_id","comm_fkt","dist_wt","distance_rank","lat","lon","num_buildings"
"w1266692609","AMBAHY_AMBAHY",1693.44386149003,1,-20.7721509384051,48.478596788546,645
"w1266692611","AMBAHY_AMBAHY",2455.82581322141,2,-20.7663389205131,48.4774090609844,5
"w1266513129","AMBAHY_AMBAHY",3269.66946484785,3,-20.8057308163008,48.4728611626654,85
"w1265175754","AMBAHY_AMBAHY",3451.08814270724,4,-20.8081804444031,48.4738528346299,6
"w1265166106","AMBAHY_AMBAHY",4051.40293809024,5,-20.8195183334318,48.4793973858796,6
"w1264807238","AMBAHY_AMBODISANDROY",1093.22271714922,1,-20.7602587057875,48.443258315522,216
"w1264807241","AMBAHY_AMBODISANDROY",1309.05567928731,2,-20.7611846438114,48.4414295910747,17
"w1298775372","AMBAHY_AMBODISANDROY",1343.64142538976,3,-20.7629328120283,48.4421051926199,5
"w1267087463","AMBAHY_AMBODISANDROY",1448.31625835189,4,-20.7542495457996,48.4401558206633,5
"w1300907359","AMBAHY_AMBODISANDROY",1516.06681514477,5,-20.752704888782,48.4401940128585,6
"w1266757200","AMBAHY_AMBODIVANDRIKA",643.943760984183,1,-20.7708090611476,48.4039042296402,298
"w1264401270","AMBAHY_AMBODIVANDRIKA",802.518453427065,2,-20.7713783765916,48.4059335887093,6
"w1266757197","AMBAHY_AMBODIVANDRIKA",824.664323374341,3,-20.7714187234202,48.4026612337402,6
"w1264401269","AMBAHY_AMBODIVANDRIKA",858.887521968366,4,-20.7726473261909,48.4061357436158,10
"w1266757206","AMBAHY_AMBODIVANDRIKA",866.163444639719,5,-20.7736223724591,48.4052268408257,5
"w1267079274","AMBAHY_AMPASIMANEVA",1298.69087523277,1,-20.7357910127128,48.4492974307479,316
"w1300907366","AMBAHY_AMPASIMANEVA",1545.61824953445,2,-20.7344182900511,48.447186037496,18
"w1267087441","AMBAHY_AMPASIMANEVA",1943.99813780261,3,-20.7451805033272,48.4486634045991,134
"w1301433366","AMBAHY_AMPASIMANEVA",4047.43947858473,4,-20.7180614828569,48.4503229554189,5
"w1267079266","AMBAHY_AMPASIMANEVA",4344.62942271881,5,-20.7443161490616,48.4576082978779,12
"w1264401277","AMBAHY_AMPIAKARANA",603.828767123288,1,-20.7624761506986,48.4191611170234,84
"w1264401284","AMBAHY_AMPIAKARANA",994.123287671233,2,-20.7588807396977,48.4158708269133,5
"w1264401288","AMBAHY_AMPIAKARANA",1140.31506849315,3,-20.7655180011326,48.413706049953,15
"w1264401274","AMBAHY_AMPIAKARANA",1154.53424657534,4,-20.7615640230644,48.4098010083105,11
"w1264401298","AMBAHY_AMPIAKARANA",1379.54794520548,5,-20.7634360245625,48.4090729607986,7
"w1270065849","AMBAHY_ANALANOLONA",707.31202435312,1,-20.6998117496861,48.4732035539408,412
"w1270794950","AMBAHY_ANALANOLONA",1128.92541856925,2,-20.7077450150095,48.4692655106407,117
"w1270794930","AMBAHY_ANALANOLONA",1716.90867579909,3,-20.7007448883046,48.4623581062823,5
"w1270794979","AMBAHY_ANALANOLONA",1796.81735159817,4,-20.7103636786091,48.4625738368838,8
"w1270794934","AMBAHY_ANALANOLONA",1819.1202435312,5,-20.7013755475214,48.4606886143073,7
"w1266708121","AMBAHY_FENOARIVO",414.343692870201,1,-20.7732148619857,48.4602398326608,475
"w1264788726","AMBAHY_FENOARIVO",2358.8226691042,2,-20.7877603992326,48.4679552525124,28
"w1264788731","AMBAHY_FENOARIVO",2602.53930530165,3,-20.7930653321019,48.4661466733728,12
"w1264788730","AMBAHY_FENOARIVO",2777.15722120658,4,-20.7944106208188,48.4662786221839,5
"w1264788748","AMBAHY_FENOARIVO",3012.69652650823,5,-20.7953420334036,48.4582798320907,5
"w1266708158","AMBAHY_MAHAFIHETSIKA",27.390625,1,-20.7570853868608,48.4599839268119,315
"w1267079262","AMBAHY_MAHAFIHETSIKA",1725.609375,2,-20.7466187268515,48.4581378222948,5
"w1267062170","AMBAHY_MAROMBY",1675.25221238938,1,-20.7632045725767,48.3829738709809,111
"w1267062231","AMBAHY_MAROMBY",1853.56194690265,2,-20.7677871164226,48.3762570650099,5
"w1267062176","AMBAHY_MAROMBY",1860.42699115044,3,-20.7596380730683,48.3750643243321,10
